Gene name	TranscriptID	Chromosome	Transcript length	GC Content	GC Stretch	Missing exon	Deleted exon	TOGA status
C6H4orf45	XM_012552139.3	NC_045431.1	573	42.06	3.71428571428571	No	No	I
C6H4orf47	XM_003773012.4	NC_045431.1	933	39.76	3.5625	No	No	I
C6H4orf50	XM_031942704.1	NC_045431.1	5700	44.72	3.6214953271028	Yes	No	PI
C6H4orf54	XM_023505758.2	NC_045431.1	5391	56.98	4.03846153846154	Yes	No	M
C8G	XM_031951973.1	NC_045427.1	789	51.96	3.75	No	No	I
C9	XM_003759932.3	NC_045426.1	1782	39.84	3.33333333333333	No	No	I
CA10	XM_003767978.4	NC_045429.1	987	43.87	3.48648648648649	No	No	I
CA12	XM_023497758.2	NC_045427.1	1071	43.51	3.325	No	No	I
CA14	XM_012549680.3	NC_045429.1	1023	51.81	3.82352941176471	No	No	I
CA3	XM_003759665.3	NC_045426.1	783	48.02	3.67567567567568	No	No	I
CA7	XM_003758756.3	NC_045427.1	795	51.57	4.04878048780488	No	No	I
CA8	XM_031946371.1	NC_045426.1	879	42.21	3.20588235294118	No	No	I
CAAP1	XM_003761400.4	NC_045426.1	933	43.73	3.87096774193548	No	No	I
CAB39	XM_023503750.2	NC_045429.1	1026	39.47	3.53846153846154	No	No	I
CAB39L	XM_003764571.3	NC_045428.1	1017	38.15	3.21428571428571	No	No	I
CABLES2	XM_031951722.1	NC_045427.1	1755	53.90	5.56842105263158	No	No	I
CABP1	XM_031948730.1	NC_045426.1	1125	67.38	7.58666666666667	Yes	No	UL
CABYR	XM_012541501.3	NC_045426.1	2286	46.85	3.81443298969072	No	No	I
CACFD1	XM_003757451.4	NC_045427.1	519	51.83	3.76923076923077	No	No	I
CACHD1	XM_031968977.1	NC_045429.1	3945	53.97	4.34955752212389	Yes	No	PI
CACNA1A	XM_031947675.1	NC_045426.1	7422	53.42	4.14526315789474	Yes	No	PI
CACNA1E	XM_003767485.4	NC_045429.1	7377	49.88	3.71776155717762	Yes	No	PI
CACNA1H	XM_031945752.1	NC_045426.1	7491	55.63	4.122	No	No	I
CACNA1I	XM_031940123.1	NC_045430.1	6246	58.81	4.40182648401827	Yes	No	PI
CACNA2D1	XM_031938658.1	NC_045430.1	3279	39.77	3.29032258064516	No	No	I
CACNA2D2	XM_031958707.1	NC_045426.1	3411	53.68	4.07428571428571	Yes	No	PI
CACNA2D3	XM_031952127.1	NC_045426.1	3276	46.83	3.74468085106383	No	No	I
CACNB1	XM_031966172.1	NC_045429.1	1941	58.11	4.46043165467626	Yes	No	I
CACNB3	XM_031938002.1	NC_045430.1	1542	54.41	4.06593406593407	Yes	No	UL
CACNB4	XM_031960676.1	NC_045428.1	1581	45.86	3.86440677966102	No	No	I
CACNG2	XM_003771121.3	NC_045430.1	972	52.47	3.93333333333333	No	No	I
CACNG3	XM_003761878.2	NC_045426.1	948	50.00	3.63636363636364	No	No	I
CACNG6	XM_031961771.1	NC_045428.1	765	62.22	4.46666666666667	Yes	No	PI
CACNG7	XM_031963461.1	NC_045428.1	828	60.87	4.46875	No	No	I
CACNG8	XM_031961770.1	NC_045428.1	1104	67.21	5.125	Yes	No	UL
CACTIN	XM_031947879.1	NC_045426.1	2313	57.89	4.5	Yes	No	PI
CACUL1	XM_031955939.1	NC_045427.1	1098	48.91	5.40909090909091	Yes	No	PI
CACYBP	XM_031968379.1	NC_045429.1	1443	54.40	4.97826086956522	No	No	UL
CAD	XM_031951364.1	NC_045427.1	6780	54.31	3.89400921658986	No	No	UL
CADM1	XM_023499443.2	NC_045428.1	1407	51.10	4.29166666666667	No	No	I
CADM2	XM_031963623.1	NC_045428.1	1335	42.55	3.35714285714286	No	No	I
CADM3	XM_031966832.1	NC_045429.1	1188	53.70	4.13432835820895	Yes	No	I
CADPS	XM_031953509.1	NC_045426.1	4167	49.53	4.43939393939394	Yes	No	PI
CADPS2	XM_031938928.1	NC_045430.1	3927	43.80	3.81481481481481	Yes	No	PI
CALB1	XM_003770310.3	NC_045426.1	786	40.71	3.33333333333333	No	No	I
CALB2	XM_031949957.1	NC_045427.1	813	47.11	3.62857142857143	No	No	I
CALCB	XM_003773568.3	NC_045431.1	420	55.00	3.66666666666667	No	No	I
CALCOCO2	XM_003768339.3	NC_045429.1	1407	46.06	3.6304347826087	No	No	I
CALCRL	XM_003764037.4	NC_045428.1	1395	39.21	3.27027027027027	No	No	I
CALD1	XM_003771628.4	NC_045430.1	2286	46.19	3.5188679245283	No	No	I
CALHM1	XM_003755407.3	NC_045427.1	1026	61.31	4.18604651162791	No	No	I
CALHM2	XM_031955782.1	NC_045427.1	972	63.27	4.62025316455696	No	No	I
CALHM3	XM_031955783.1	NC_045427.1	1050	63.90	5.30666666666667	No	No	I
CALHM4	XM_003769388.3	NC_045429.1	948	44.51	3.29411764705882	No	No	I
CALHM5	XM_012549303.3	NC_045429.1	930	45.48	3.33333333333333	No	No	I
CALM1	XM_031952359.1	NC_045427.1	618	43.85	3.63636363636364	No	No	UL
CALM2	XM_031950443.1	NC_045427.1	450	39.78	3.27272727272727	No	No	I
CALML4	XM_023498415.2	NC_045427.1	462	42.64	3.8	No	No	I
CALN1	XM_031967900.1	NC_045429.1	660	49.24	3.76315789473684	No	No	I
CALR	XM_003760668.4	NC_045426.1	1254	51.20	3.77049180327869	Yes	No	I
CALU	XM_031939024.1	NC_045430.1	948	44.94	3.45	No	No	I
CALY	XM_003754943.2	NC_045427.1	582	47.94	3.69565217391304	No	No	I
CAMK1	XM_003762425.4	NC_045426.1	1113	55.26	4	No	No	I
CAMK1D	XM_003771427.4	NC_045430.1	1179	46.06	3.72916666666667	Yes	No	PI
CAMK1G	XM_031937288.1	NC_045429.1	1599	50.28	3.6046511627907	No	No	UL
CAMK2B	XM_031951517.1	NC_045427.1	2016	54.91	4.04651162790698	No	No	I
CAMK2D	XM_031943040.1	NC_045431.1	1542	44.36	3.30645161290323	No	No	I
CAMK2G	XM_031956440.1	NC_045427.1	2070	56.47	4.16326530612245	No	No	UL
CAMK2N1	XM_031962716.1	NC_045428.1	237	53.16	5.27272727272727	No	No	I
CAMK2N2	XM_031968114.1	NC_045429.1	240	62.92	5.15789473684211	No	No	I
CAMK4	XM_031968409.1	NC_045426.1	1257	44.79	3.45454545454545	No	No	I
CAMKK2	XM_031948550.1	NC_045426.1	1740	60.75	4.992	Yes	No	I
CAMKMT	XM_031949249.1	NC_045427.1	1200	48.08	3.90769230769231	Yes	No	PI
CAMKV	XM_031959051.1	NC_045426.1	1533	57.47	4.37272727272727	No	No	I
CAMLG	XM_003756457.3	NC_045427.1	894	46.20	4.34285714285714	No	No	I
CAMSAP1	XM_031954960.1	NC_045427.1	4935	39.41	3.48031496062992	No	No	I
CAMSAP3	XM_031948367.1	NC_045426.1	2823	62.81	4.66390041493776	Yes	No	PI
CAMTA2	XM_031965371.1	NC_045429.1	3624	53.42	3.87203791469194	Yes	No	UL
CANX	XM_031953836.1	NC_045427.1	1806	43.80	3.47457627118644	No	No	I
CAP1	XM_003765408.4	NC_045428.1	1428	49.09	3.64285714285714	Yes	No	PI
CAP2	XM_031946809.1	NC_045426.1	1428	43.49	3.71111111111111	Yes	No	PI
CAPN1	XM_003774173.4	NC_045431.1	2226	54.31	3.99285714285714	No	No	I
CAPN10	XM_031968127.1	NC_045429.1	2031	62.97	4.39766081871345	Yes	No	PI
CAPN15	XM_031945706.1	NC_045426.1	3462	61.58	4.3804347826087	No	No	I
CAPN2	XM_031967066.1	NC_045429.1	2103	48.60	3.62886597938144	No	No	I
CAPN3	XM_031952157.1	NC_045427.1	2460	47.97	3.74545454545455	No	No	I
CAPN5	XM_003764627.4	NC_045428.1	1926	49.17	3.74	No	No	I
CAPN7	XM_003772006.4	NC_045430.1	2442	40.95	3.48780487804878	No	No	I
CAPN8	XM_003767730.2	NC_045429.1	2109	47.32	3.39047619047619	No	No	I
CAPN9	XM_003767829.2	NC_045429.1	2073	44.14	3.65789473684211	No	No	I
CAPNS1	XM_031963094.1	NC_045428.1	897	63.77	5.80952380952381	Yes	No	PI
CAPNS2	XM_003757259.4	NC_045427.1	741	43.18	3.57692307692308	No	No	I
CAPRIN1	XM_031942438.1	NC_045431.1	2163	51.60	4.45192307692308	Yes	No	PI
CAPS	XM_003760623.4	NC_045426.1	567	55.20	4.05263157894737	No	No	I
CAPSL	XM_023496133.2	NC_045426.1	627	42.58	3.41379310344828	No	No	I
CAPZA1	XM_031967307.1	NC_045429.1	861	41.81	3.89285714285714	No	No	I
CAPZA2	XM_003771543.4	NC_045430.1	861	38.44	3.40909090909091	No	No	I
CAPZA3	XM_031938380.1	NC_045430.1	903	35.77	3.31578947368421	No	No	I
CAPZB	XM_031962734.1	NC_045428.1	1212	54.54	4.40540540540541	Yes	No	I
CARD14	XM_031965589.1	NC_045429.1	2997	47.01	3.38524590163934	No	No	I
CARD19	XM_012543394.3	NC_045426.1	663	43.89	3.19230769230769	No	No	UL
CARD6	XM_012541422.2	NC_045426.1	3042	43.36	3.51351351351351	No	No	I
CARD8	XM_031957591.1	NC_045428.1	1650	50.18	3.97435897435897	Yes	Yes	I
CARF	XM_031958307.1	NC_045428.1	2220	42.75	3.56451612903226	No	No	I
CARHSP1	XM_003761717.4	NC_045426.1	444	54.05	3.93333333333333	No	No	I
CARM1	XM_031947547.1	NC_045426.1	1824	53.45	4.42718446601942	Yes	No	PI
CARMIL1	XM_031946768.1	NC_045426.1	4305	44.11	3.45714285714286	Yes	No	PI
CARNS1	XM_031941459.1	NC_045431.1	2868	71.72	5.63385826771654	Yes	No	PI
CARS2	XM_031958704.1	NC_045428.1	2028	46.65	4.7032967032967	No	No	UL
CARTPT	XM_031966776.1	NC_045426.1	345	48.99	3.375	No	No	I
CASC3	XM_031966220.1	NC_045429.1	2100	54.67	4.27131782945736	No	No	I
CASK	XM_031959388.1	NC_045428.1	2799	42.27	3.47191011235955	No	No	I
CASKIN2	XM_031965795.1	NC_045429.1	3582	62.26	4.44771241830065	Yes	No	PI
CASP14	XM_003760973.4	NC_045426.1	747	51.67	3.35	No	No	I
CASP2	XM_012551094.3	NC_045430.1	1395	51.33	3.91549295774648	No	No	I
CASP7	XM_031949359.1	NC_045427.1	1332	48.80	4.27941176470588	No	No	UL
CASP8AP2	XM_023503109.2	NC_045429.1	5829	35.03	3.27956989247312	No	No	I
CASQ1	XM_031966859.1	NC_045429.1	1188	49.75	3.52727272727273	No	No	I
CASQ2	XM_031967358.1	NC_045429.1	1245	43.21	3.4	No	No	I
CASR	XM_003763628.2	NC_045428.1	3219	50.26	3.80116959064327	No	No	I
CASTOR1	XM_031948896.1	NC_045426.1	633	63.03	4.35849056603774	Yes	No	M
CAT	XM_031943793.1	NC_045431.1	1584	48.74	3.76470588235294	Yes	No	PI
CATIP	XM_031958061.1	NC_045428.1	1221	50.86	3.89393939393939	No	No	I
CATSPER2	XM_031952206.1	NC_045427.1	1530	45.62	3.6271186440678	No	No	I
CATSPER4	XM_031962535.1	NC_045428.1	1692	51.24	3.8021978021978	No	No	I
CAV1	XM_003771541.4	NC_045430.1	537	46.00	3.83333333333333	No	No	I
CAV2	XM_012550990.3	NC_045430.1	489	50.92	3.96296296296296	No	No	I
CAV3	XM_003762398.4	NC_045426.1	453	51.66	3.66666666666667	No	No	I
CAVIN1	XM_003768164.4	NC_045429.1	1164	56.87	4.45454545454545	No	No	I
CAVIN2	XM_003764054.4	NC_045428.1	1281	46.84	3.6304347826087	No	No	I
CAVIN3	XM_031962072.1	NC_045428.1	783	65.39	5.01538461538462	No	No	I
CAVIN4	XM_012542703.2	NC_045426.1	1122	40.20	3.46875	No	No	I
CBFA2T2	XM_031953847.1	NC_045427.1	1866	57.72	4.36885245901639	No	No	I
CBFA2T3	XM_031950126.1	NC_045427.1	1920	61.82	4.5	Yes	No	PI
CBFB	XM_031950312.1	NC_045427.1	651	52.38	3.87179487179487	No	No	I
CBLB	XM_023498952.2	NC_045428.1	2949	44.29	3.65137614678899	No	No	I
CBLIF	XM_003773993.2	NC_045431.1	1245	46.91	3.75471698113208	No	No	I
CBLL1	XM_003771499.4	NC_045430.1	1476	46.61	3.71153846153846	Yes	No	M
CBLN2	XM_031946698.1	NC_045426.1	681	54.63	4.5	No	No	I
CBLN3	XM_003755886.4	NC_045427.1	570	55.96	3.8974358974359	No	No	I
CBLN4	XM_003757673.4	NC_045427.1	882	51.93	4.11363636363636	No	No	I
CBR4	XM_031943912.1	NC_045431.1	714	44.40	4.14285714285714	No	No	I
CBWD1	XM_031943828.1	NC_045426.1	1224	40.03	3.96551724137931	No	No	I
CBX3	XM_031940551.1	NC_045430.1	615	48.13	3.73076923076923	No	No	UL
CBX4	XM_031965583.1	NC_045429.1	1665	55.62	4.13821138211382	Yes	No	PI
CBX5	XM_012551565.2	NC_045430.1	576	43.06	3.84210526315789	No	No	I
CBX6	XM_031939854.1	NC_045430.1	1263	69.52	6.40816326530612	Yes	No	M
CBX8	XM_003768647.4	NC_045429.1	1101	57.58	4.07777777777778	No	No	I
CBY2	XM_031958387.1	NC_045428.1	1335	56.63	4.26190476190476	No	No	I
CC2D1A	XM_023496767.2	NC_045426.1	2880	56.25	3.96601941747573	No	No	I
CCAR1	XM_003755021.4	NC_045427.1	3450	44.78	3.53146853146853	No	No	I
CCAR2	XM_031950878.1	NC_045427.1	2772	53.79	3.88957055214724	No	No	I
CCDC102A	XM_031954570.1	NC_045427.1	1728	61.05	4.71304347826087	Yes	No	PI
CCDC102B	XM_031946694.1	NC_045426.1	1620	38.15	3.3448275862069	Yes	No	PI
CCDC103	XM_003768425.3	NC_045429.1	738	52.17	3.92307692307692	No	No	I
CCDC106	XM_031963525.1	NC_045428.1	1116	65.77	5.03125	Yes	No	M
CCDC107	XM_031945367.1	NC_045426.1	645	72.40	5.62903225806452	No	No	I
CCDC113	XM_031949940.1	NC_045427.1	1137	45.91	3.82978723404255	No	No	I
CCDC116	XM_031949114.1	NC_045426.1	3609	60.40	4.22661870503597	Yes	No	M
CCDC117	XM_031948831.1	NC_045426.1	816	57.72	5.46808510638298	Yes	No	PI
CCDC122	XM_031958408.1	NC_045428.1	834	33.21	3.22222222222222	No	Yes	I
CCDC124	XM_012542156.3	NC_045426.1	666	56.91	4.425	No	No	I
CCDC126	XM_031940610.1	NC_045430.1	423	56.97	3.78571428571429	No	No	I
CCDC13	XM_031959884.1	NC_045426.1	2280	46.05	3.75581395348837	No	No	I
CCDC130	XM_012542099.3	NC_045426.1	1104	50.36	3.70689655172414	No	No	I
CCDC136	XM_031939026.1	NC_045430.1	3876	52.45	3.71176470588235	Yes	Yes	I
CCDC137	XM_003768612.4	NC_045429.1	876	50.91	3.87931034482759	No	No	I
CCDC138	XM_031958773.1	NC_045428.1	2013	36.16	3.31707317073171	No	No	I
CCDC142	XM_031942394.1	NC_045431.1	2217	64.68	4.90322580645161	No	No	I
CCDC148	XM_031960644.1	NC_045428.1	1812	34.77	3.36111111111111	No	No	I
CCDC149	XM_031943148.1	NC_045431.1	1647	49.48	3.76744186046512	No	No	I
CCDC151	XM_012541872.2	NC_045426.1	1731	49.74	3.81818181818182	No	No	I
CCDC152	XM_003759907.3	NC_045426.1	768	34.24	4	No	No	I
CCDC153	XM_003764139.4	NC_045428.1	606	50.33	3.47058823529412	No	No	I
CCDC159	XM_031947567.1	NC_045426.1	1386	52.02	3.83333333333333	Yes	No	PI
CCDC160	XM_031944825.1	NC_045432.1	1020	44.22	3.65909090909091	No	No	I
CCDC162P	XM_031964438.1	NC_045429.1	6585	43.54	3.55744680851064	No	No	I
CCDC166	XM_012541947.2	NC_045426.1	1266	57.11	4.19767441860465	No	No	I
CCDC167	XM_003769008.4	NC_045429.1	381	55.64	4.34615384615385	No	No	UL
CCDC172	XM_003755350.2	NC_045427.1	777	31.79	3.1	No	No	I
CCDC174	XM_031955778.1	NC_045426.1	1371	45.59	3.85185185185185	Yes	No	I
CCDC177	XM_031952809.1	NC_045427.1	2151	59.97	4.22155688622755	No	No	I
CCDC182	XM_012548071.3	NC_045429.1	465	53.33	3.74193548387097	No	No	I
CCDC183	XM_003757503.4	NC_045427.1	1617	45.45	3.73469387755102	No	No	I
CCDC184	XM_031938026.1	NC_045430.1	564	64.18	4.6304347826087	No	No	I
CCDC185	XM_003767736.3	NC_045429.1	1911	59.65	4.73333333333333	No	No	I
CCDC186	XM_003755374.4	NC_045427.1	2721	34.66	3.26190476190476	No	No	I
CCDC189	XM_012542888.3	NC_045426.1	1002	51.70	3.96153846153846	No	No	I
CCDC190	XM_012547612.2	NC_045429.1	921	51.03	3.625	No	No	I
CCDC192	XM_031939355.1	NC_045426.1	837	41.70	3.52	No	No	I
CCDC196	XM_031952755.1	NC_045427.1	1077	47.08	4.16666666666667	No	No	I
CCDC197	XM_012547252.2	NC_045427.1	1392	39.58	3.3	No	No	I
CCDC200	XM_031966353.1	NC_045429.1	792	54.42	4.12765957446809	No	No	I
CCDC24	XM_031968558.1	NC_045429.1	1110	67.12	5.04301075268817	Yes	No	PI
CCDC28B	XM_031962282.1	NC_045428.1	597	61.31	4.48837209302326	Yes	No	PI
CCDC3	XM_031938590.1	NC_045430.1	828	56.16	4.35294117647059	No	No	I
CCDC32	XM_031952094.1	NC_045427.1	534	46.07	3.68181818181818	No	No	I
CCDC34	XM_003773655.4	NC_045431.1	1194	52.68	6	No	No	I
CCDC36	XM_031959306.1	NC_045426.1	1788	42.62	3.73684210526316	No	No	I
CCDC42	XM_031965501.1	NC_045429.1	969	46.34	3.61904761904762	No	No	I
CCDC43	XM_003768422.4	NC_045429.1	699	54.65	4.825	No	No	I
CCDC47	XM_012548473.3	NC_045429.1	1449	43.62	3.73469387755102	No	No	I
CCDC50	XM_031957418.1	NC_045428.1	1449	54.04	3.93181818181818	No	No	I
CCDC51	XM_031961195.1	NC_045426.1	1263	45.29	3.48888888888889	No	No	I
CCDC54	XM_003763527.4	NC_045428.1	969	40.66	3.53571428571429	No	No	I
CCDC58	XM_003763630.4	NC_045428.1	435	40.46	3.9	No	No	I
CCDC59	XM_003770964.4	NC_045430.1	633	42.18	4.58333333333333	No	No	I
CCDC61	XM_031963872.1	NC_045428.1	1509	65.81	5.24786324786325	Yes	No	M
CCDC62	XM_031948483.1	NC_045426.1	2031	43.53	3.77941176470588	No	No	I
CCDC63	XM_031948577.1	NC_045426.1	1692	42.61	3.60344827586207	No	No	I
CCDC69	XM_012551868.3	NC_045427.1	894	46.20	3.75	No	No	I
CCDC70	XM_003764548.4	NC_045428.1	672	49.26	3.41666666666667	No	No	I
CCDC71	XM_031959363.1	NC_045426.1	1125	55.02	3.88607594936709	No	No	I
CCDC71L	XM_031938753.1	NC_045430.1	834	76.14	6.73972602739726	No	No	I
CCDC73	XM_031943119.1	NC_045431.1	3348	35.24	3.33802816901408	No	No	I
CCDC77	XM_012550803.3	NC_045430.1	1476	41.94	3.46666666666667	No	No	I
CCDC80	XM_003763586.4	NC_045428.1	2832	46.43	3.55	No	No	I
CCDC85A	XM_031950507.1	NC_045427.1	1707	61.10	5.14814814814815	No	No	UL
CCDC85B	XM_031943964.1	NC_045431.1	699	77.97	7.47169811320755	Yes	No	M
CCDC85C	XM_031953286.1	NC_045427.1	1254	59.49	4.97222222222222	No	No	I
CCDC86	XM_031941431.1	NC_045431.1	1347	66.96	5.40322580645161	No	No	I
CCDC87	XM_031941667.1	NC_045431.1	2664	60.40	4.33495145631068	No	No	I
CCDC88A	XM_031950487.1	NC_045427.1	6186	36.70	3.3125	No	No	I
CCDC89	XM_003764602.3	NC_045428.1	1131	53.05	3.85185185185185	No	No	I
CCDC92	XM_031948432.1	NC_045426.1	1083	67.77	5.9625	No	No	UL
CCDC92B	XM_031967818.1	NC_045429.1	936	75.43	7.17567567567568	No	No	UL
CCDC93	XM_003763798.4	NC_045428.1	1845	42.22	3.70967741935484	No	No	I
CCDC96	XM_003773403.4	NC_045431.1	1701	62.90	4.48760330578512	No	No	I
CCDC97	XM_031963890.1	NC_045428.1	1032	67.15	5.19753086419753	No	No	I
CCER1	XM_031940144.1	NC_045430.1	1287	67.37	6.8974358974359	No	No	UL
CCHCR1	XM_031965188.1	NC_045429.1	2517	50.30	3.66129032258065	No	No	I
CCIN	XM_003761341.3	NC_045426.1	1776	47.30	3.69736842105263	No	No	I
CCK	XM_031940049.1	NC_045430.1	390	53.85	3.90909090909091	No	No	I
CCKAR	XM_023506791.2	NC_045431.1	1290	50.85	3.61643835616438	No	No	I
CCKBR	XM_031962071.1	NC_045428.1	1389	64.79	4.58267716535433	No	No	I
CCL17	XM_003757292.3	NC_045427.1	549	43.72	3.52380952380952	No	No	I
CCL19	XM_012543039.3	NC_045426.1	288	57.64	4.42105263157895	No	No	I
CCL21	XM_003761768.2	NC_045426.1	414	54.59	3.89285714285714	No	No	I
CCL22	XM_031954561.1	NC_045427.1	288	43.40	4.14285714285714	No	No	I
CCL25	XM_012542289.2	NC_045426.1	447	45.64	3.13636363636364	No	No	I
CCM2	XM_003762557.3	NC_045426.1	1350	49.78	3.7	Yes	No	I
CCM2L	XM_003757031.3	NC_045427.1	1797	60.93	4.34558823529412	Yes	No	PI
CCN1	XM_003767327.4	NC_045429.1	1149	53.61	4.05194805194805	No	No	I
CCN2	XM_003769440.4	NC_045429.1	1056	53.88	3.82352941176471	No	No	I
CCN3	XM_003760348.3	NC_045426.1	1086	50.64	4.07272727272727	No	No	I
CCN5	XM_031951561.1	NC_045427.1	798	56.39	3.85714285714286	No	No	UL
CCN6	XM_023503167.2	NC_045429.1	1131	44.74	3.65116279069767	No	No	I
CCNA2	XM_031944011.1	NC_045431.1	1329	52.14	5.01639344262295	No	No	I
CCNB1	XM_003759413.3	NC_045426.1	1254	43.54	3.44	No	No	I
CCNB1IP1	XM_031952011.1	NC_045427.1	834	46.16	3.29411764705882	No	No	I
CCNB2	XM_031955284.1	NC_045427.1	1209	38.71	3.3448275862069	No	No	I
CCNC	XM_012549236.3	NC_045429.1	852	38.03	3.17391304347826	No	No	I
CCND1	XM_031941267.1	NC_045431.1	879	60.18	4.33928571428571	Yes	No	PI
CCND3	XM_031964860.1	NC_045429.1	879	59.27	4.09230769230769	No	No	I
CCNDBP1	XM_031952176.1	NC_045427.1	1038	50.29	3.75	No	No	I
CCNE1	XM_031954402.1	NC_045427.1	2241	44.04	3.35555555555556	No	No	I
CCNE2	XM_003760252.4	NC_045426.1	1551	44.17	4	No	No	I
CCNG1	XM_012552266.3	NC_045427.1	888	39.86	3.2962962962963	Yes	No	PI
CCNG2	XM_031941264.1	NC_045431.1	1035	41.84	3.59375	No	No	I
CCNH	XM_003759856.4	NC_045426.1	972	39.81	3.64	No	No	I
CCNI	XM_031943835.1	NC_045431.1	1134	45.77	3.51020408163265	No	No	I
CCNJ	XM_031956168.1	NC_045427.1	1155	42.60	3.48571428571429	No	No	I
CCNJL	XM_031953620.1	NC_045427.1	1248	52.56	3.921875	No	No	I
CCNL1	XM_031957561.1	NC_045428.1	1650	54.06	4.74226804123711	No	No	I
CCNL2	XM_031963046.1	NC_045428.1	1638	53.36	4.89320388349515	Yes	No	PI
CCNO	XM_031949232.1	NC_045426.1	1188	60.19	4.32291666666667	Yes	No	PI
CCNT1	XM_003770895.4	NC_045430.1	2157	49.33	3.54901960784314	No	No	I
CCNT2	XM_031959990.1	NC_045428.1	2232	44.00	3.75675675675676	No	No	I
CCNY	XM_012551212.3	NC_045430.1	1026	46.00	3.80952380952381	No	No	I
CCNYL1	XM_031958194.1	NC_045428.1	1077	47.54	4.16	No	No	I
CCPG1	XM_031955235.1	NC_045427.1	2571	37.77	3.43333333333333	No	No	I
CCR10	XM_012548242.2	NC_045429.1	1086	57.00	4	No	No	I
CCR4	XM_012551306.3	NC_045430.1	1053	43.30	3.4	No	No	I
CCR6	XM_031937498.1	NC_045429.1	1119	39.23	3.45454545454545	No	No	I
CCR7	XM_003768253.4	NC_045429.1	1125	53.60	4.046875	No	No	I
CCR8	XM_031940025.1	NC_045430.1	1065	48.26	3.4468085106383	No	No	I
CCSER2	XM_031956725.1	NC_045427.1	3171	40.11	3.41666666666667	No	No	I
CCT3	XM_003768091.4	NC_045429.1	1638	48.35	3.8	No	No	I
CCT5	XM_031946121.1	NC_045426.1	1626	40.65	3.45238095238095	No	No	I
CCT7	XM_031949702.1	NC_045427.1	1635	57.00	4.33962264150943	No	No	I
CCT8L2	XM_012551160.2	NC_045430.1	1647	50.88	3.72115384615385	No	No	I
CCZ1	XM_003761463.4	NC_045426.1	1425	38.18	4.125	No	No	I
CD101	XM_012549622.3	NC_045429.1	3084	45.53	3.4390243902439	No	No	I
CD164	XM_031964436.1	NC_045429.1	678	50.88	4.83333333333333	Yes	No	PI
CD180	XM_023495787.2	NC_045426.1	1998	41.49	3.30985915492958	No	No	I
CD2	XM_023503502.2	NC_045429.1	1071	43.60	3.53846153846154	No	No	I
CD22	XM_012545693.3	NC_045428.1	2523	48.51	3.67256637168142	No	No	I
CD226	XM_012541571.3	NC_045426.1	984	40.14	3.38461538461538	No	No	I
CD247	XM_012547631.3	NC_045429.1	498	50.40	3.80769230769231	No	No	I
CD27	XM_003771244.3	NC_045430.1	816	51.72	3.61224489795918	No	No	I
CD28	XM_023500687.2	NC_045428.1	666	43.09	3.36363636363636	No	No	I
CD2BP2	XM_012542869.3	NC_045426.1	1068	56.09	4.19178082191781	Yes	No	PI
CD34	XM_003767657.4	NC_045429.1	1236	50.65	3.64285714285714	No	No	I
CD36	XM_003771461.4	NC_045430.1	1416	38.98	3.35	No	No	I
CD37	XM_031963442.1	NC_045428.1	990	62.53	4.95890410958904	Yes	No	PI
CD3EAP	XM_031963195.1	NC_045428.1	1416	64.76	4.97457627118644	Yes	No	PM
CD4	XM_031937702.1	NC_045430.1	1539	45.22	3.609375	No	No	I
CD40	XM_031954590.1	NC_045427.1	801	52.31	3.85714285714286	No	No	I
CD40LG	XM_003774847.3	NC_045432.1	762	47.24	3.55263157894737	No	No	I
CD44	XM_031942277.1	NC_045431.1	2478	46.05	3.71084337349398	No	No	I
CD53	XM_003769761.4	NC_045429.1	660	45.00	3.61538461538462	No	No	I
CD59	XM_031943127.1	NC_045431.1	372	43.01	3.58333333333333	No	No	I
CD6	XM_031941391.1	NC_045431.1	1692	59.04	4.0655737704918	Yes	No	PI
CD63	XM_023505276.2	NC_045430.1	717	44.91	3.5	No	No	I
CD68	XM_003768765.4	NC_045429.1	966	51.45	3.68518518518519	No	No	I
CD72	XM_012543018.3	NC_045426.1	1182	43.57	3.28205128205128	No	No	I
CD74	XM_012551793.3	NC_045427.1	825	50.79	3.64285714285714	No	No	I
CD79A	XM_031961680.1	NC_045428.1	930	68.60	4.8804347826087	Yes	Yes	L
CD79B	XM_031965885.1	NC_045429.1	738	47.83	3.64705882352941	No	No	I
CD80	XM_023499043.2	NC_045428.1	936	41.56	3.26666666666667	No	No	I
CD81	XM_031942568.1	NC_045431.1	711	59.35	4.46808510638298	Yes	No	M
CD83	XM_012541630.3	NC_045426.1	630	42.70	3.7	No	No	I
CD8A	XM_031949806.1	NC_045427.1	732	60.52	4.39285714285714	No	No	I
CD9	XM_031938300.1	NC_045430.1	684	47.22	3.75675675675676	No	No	I
CD93	XM_031951029.1	NC_045427.1	2001	51.72	3.75833333333333	No	No	I
CD96	XM_031959641.1	NC_045428.1	1869	39.75	3.23076923076923	Yes	No	PI
CDA	XM_012545501.3	NC_045428.1	465	48.39	3.65384615384615	No	No	I
CDADC1	XM_003764572.4	NC_045428.1	1737	43.81	4.31666666666667	No	No	I
CDAN1	XM_031952172.1	NC_045427.1	3690	56.99	4.63362068965517	Yes	No	PI
CDC14A	XM_031967152.1	NC_045429.1	1866	43.41	3.47222222222222	No	No	I
CDC14B	XM_031937687.1	NC_045426.1	1578	40.56	3.34615384615385	No	No	I
